,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/5,/intelcpu/0/load/6,/intelcpu/0/load/7,/intelcpu/0/load/8,/intelcpu/0/load/9,/intelcpu/0/load/10,/intelcpu/0/load/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/load/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Total","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Used Space","Used Space"
09/30/2024 13:56:42,1.5625,0,0,0,0,0,12.3076916,38.4615364,81.25,81.25,13.5246391,68.88562,16.320446,7.371647,58,210.000015,405.000031,0,0,8,0,0,6144,328.8164,5815.18359,5.35182953,3.68700027,0.0009765625,0,89.36812,86.55914
09/30/2024 13:56:43,0.78125,1.5625,0,0,0,1.5625,10.9375,10.9375,41.53846,10.76923,5.1247,68.93892,16.3330727,7.35902,58,210.000015,405.000031,0,0,8,0,0,6144,328.8164,5815.18359,5.35182953,3.67,0,0,89.36812,86.55914
09/30/2024 13:56:44,0.78125,0,0,0,0,0,1.5625,59.375,75,46.875,11.5234375,68.94257,16.3339386,7.3581543,58,210.000015,405.000031,0,2,28,0,0,6144,328.4414,5815.55859,5.345726,3.76000023,0,0,89.36812,86.55914
09/30/2024 13:56:45,0,0,0,0,0,0,10.9375,29.6875,23.4375,48.4375,7.03125,68.93908,16.33311,7.358982,58,210.000015,405.000031,0,0,28,0,0,6144,328.4414,5815.55859,5.345726,3.69400024,0.0009765625,0,89.36812,86.55914
09/30/2024 13:56:46,0,0,0,0,0,0,21.875,23.8095226,20.63492,57.8125,7.758248,68.9486542,16.33538,7.35671234,58,210.000015,405.000031,0,0,36,0,0,6144,328.4414,5815.55859,5.345726,3.70500016,0.0009765625,0,89.36812,86.55914
09/30/2024 13:56:47,0,0,0,0,0,0,6.25,38.4615364,29.2307682,54.6875,8.039361,68.89424,16.3224869,7.369606,58,210.000015,405.000031,0,0,22,0,0,6144,328.4414,5815.55859,5.345726,3.72100019,0,0,89.36812,86.55914
09/30/2024 13:56:48,0.78125,5.555558,0,0,0,0,10.9375,44.4444427,71.42857,34.375,10.8661947,68.89395,16.3224182,7.36967468,58,210.000015,405.000031,0,0,33,0,0,6144,328.4414,5815.55859,5.345726,3.69900012,0.0009765625,0,89.36812,86.55914
09/30/2024 13:56:49,0,0,0,0,0,0,7.8125,59.375,68.75,90.625,14.1601563,68.9112854,16.3265266,7.36556625,58,210.000015,405.000031,0,0,23,0,0,6144,328.4414,5815.55859,5.345726,3.68700027,0,0,89.36812,86.55914
09/30/2024 13:56:50,0,0,0,0,0,0,12.5,46.1538429,43.07692,59.375,10.069108,68.90161,16.324234,7.367859,58,210.000015,405.000031,0,0,32,0,0,6144,328.4414,5815.55859,5.345726,3.67800021,0,0,89.36812,86.55914
09/30/2024 13:56:51,0.78125,0.78125,0,2.34375,0,0,18.75,15.625,29.6875,51.5625,7.71484375,68.7534943,16.2891426,7.40295029,58,210.000015,405.000031,0,0,29,0,0,6144,328.4414,5815.55859,5.345726,3.69500017,0.0009765625,0,89.36812,86.55914
